,index,PNW
95,825,95841.99958492606
96,826,97192.77569374534
97,827,81540.23565045942
98,828,96673.688166081
99,829,90503.22258080756
100,830,85970.73803746312
101,831,83672.72020652241
102,832,85502.6897914765
103,833,77375.35202477023
104,834,78217.37060309129
105,835,65350.50721232328
106,836,70017.19548363356
107,837,71629.27828397052
108,838,84444.82759852998
109,839,95145.49140608386
110,840,114094.57441027707
111,841,122896.53966699418
112,842,134713.3959729462
113,843,157490.1622473058
114,844,171151.75389578645
115,845,171079.79648770267
116,846,188325.3783275683
117,847,178584.91786328872
118,848,182678.37459379947
119,849,173525.4698264581
120,850,158918.3202813542
121,851,153432.47183180868
122,852,175693.16921066443
123,853,153160.5059281868
124,854,157542.43657239233
125,855,116684.06590952123
126,856,118676.56761096392
127,857,71621.50239473947
128,858,93927.47170565074
129,859,61202.87889839668
130,860,86586.9934963878
131,861,79944.09716142889
132,862,88451.9482095953
133,863,72568.98696273379
134,864,101047.95740555224
135,865,111937.15397267141
136,866,125770.38702351529
137,867,123992.83215702738
138,868,142028.06428191613
139,869,148742.57680841582
140,870,178883.62283419288
141,871,201431.1571952289
142,872,214930.4871923355
143,873,213122.0399983713
144,874,212448.99631086015
145,875,213008.33042924912
146,876,211000.41835162815
147,877,199256.49199283274
148,878,204700.4539427549
149,879,205966.96613331174
150,880,212248.7750917777
151,881,208384.35265929636
152,882,219216.10729810377
153,883,218401.6989337037
154,884,228302.27150274592
155,885,222777.47846768826
156,886,225624.80236669187
157,887,217565.18221501025
158,888,214022.30408768376
159,889,211714.13438543666
160,890,209131.99371595404
161,891,211529.52965844513
162,892,213898.05717482296
163,893,212763.75113114525
164,894,214323.17985122523
165,895,217236.9481192213
166,896,219990.95994963305
167,897,219666.53904806045
168,898,220094.4011022918
169,899,219410.87418953003
170,900,219279.69243715325
171,901,222265.59683126627
172,902,225229.04658229943
173,903,228063.5528684618
174,904,231722.77239365125
175,905,236048.44874893353
176,906,238505.05056745326
177,907,241250.37059004427
178,908,242569.44813806104
179,909,243643.61999042198
180,910,244063.3751914729
181,911,234463.94697415736
182,912,214505.16729878847
183,913,212564.07675814617
184,914,154313.66821206876
185,915,164164.75209009307
186,916,169117.9567723186
187,917,183761.90950739483
188,918,183948.08983758418
189,919,167860.3484675596
190,920,157498.744797286
191,921,146865.29007131883
192,922,134854.37995521651
193,923,123924.35044149328
194,924,128829.53546445252
195,925,146759.46758076164
196,926,129494.16459100554
197,927,117177.37613067396
198,928,116447.47233333041
199,929,112277.06897967166
200,930,120087.82736676699
201,931,114158.70349544824
202,932,107903.75403306496
203,933,87715.0811729735
204,934,83636.38863278324
205,935,97689.526952783
206,936,93503.4180437362
207,937,79192.55985754024
208,938,84025.67823128233
209,939,91539.96913158333
210,940,84248.76383515843
211,941,70126.20255836166
212,942,59791.38621012031
213,943,44280.76556961314
214,944,69564.89857081854
215,945,87261.33456305621
216,946,85592.08181562275
217,947,63824.4757999509
218,948,58044.70606250744
